CLONE,YEAR,STAGE,LOC,CROP,REP,T_SPACRE,TRS_TON,TCA,POPN,MSTWT,FIBER,,,
HOCP14-803,2014,2,AFL,1,1,12868,269.98,47.7,47190,2.02,10.76,,,
HO16-612,2016,2,AFL,1,1,10384,252.28,41.2,42652.5,1.93,10.76,,,
LCP85-384,2010,3,SGL,2,2,7097,215.1,33,38478,1.72,10.76,,,
L15-343,2015,2,SGH,1,1,6287,247.04,25.5,32216.3,1.58,10.76,,,
L99-226,2010,3,NIB,2,1,8659,10    245.490,35.3,29766,2.37,10.76,,,
HOCP04-838,2018,4,BLK,1,1,5717,06    156.218,36.6,41352,1.77,10.750778,,,
HOCP15-543,2015,2,AFL,1,1,18306,257.1,71.2,44921.3,3.17,10.75,,,
L14-282,2015,3,AFL,0,2,15051,271.95,55.3,38568.8,2.87,10.75,,,
L13-257,2016,3,NEW,1,1,9367,230.97,40.6,30492,2.66,10.75,,,
HOCP14-867,2016,3,NEW,0,1,12696,264.64,48,40656,2.36,10.75,,,
HO15-918,2018,3,MEL,1,1,10112,251.03,40.3,35029.5,2.3,10.75,,,
L17-398,2019,3,WES,0,1,8979,269.4,33.3,29403,2.27,10.75,,,
HO13-720,2015,3,NEW,0,2,13537,274.05,49.4,45738,2.16,10.75,,,
HO11-573,2018,4,BLK,2,1,6665,179.77,37.1,36893.4,2.01,10.75,,,
HOCP13-737,2016,4,AFH,0,2,10692,299.12,35.7,36474.1,1.96,10.75,,,
HOCP13-737,2016,4,AFH,0,2,10692,299.12,35.7,36474.1,1.96,10.75,,,
L11-183,2015,3,NEW,2,1,9704,267.97,36.2,42108,1.72,10.75,,,
L17-435,2019,4,BLK,0,2,5516,238.84,23.1,30589.2,1.51,10.75,,,
HOCP13-726,2016,3,NEW,1,2,8163,227.88,35.8,50275.5,1.43,10.75,,,
HOCP96-540,2013,2,SGH,0,1,5506,90    169.000,33,29266.8,2.25,10.75,,,
L03-371,2013,3,SGL,0,2,15035,57    250.000,60.1,44467.5,2.705,10.75,,,
L01-283,2017,3,WES,0,1,9233,93    248.392,37.2,55902,1.33,10.746006,,,
HOCP96-540,2014,3,NEW,1,2,6892,09    192.600,35.8,33759,2.12,10.742755,,,
L01-283,2017,3,NIB,2,1,10005,95    246.436,40.6,55811.2,1.455,10.741022,,,
HO08-709,2011,4,AFH,0,2,7470,215.95,34.6,40939,,10.74,,,
L12-201,2014,3,AFL,1,2,11739,240.81,48.8,35846.3,2.72,10.74,,,
L17-398,2018,3,AFL,0,2,12605,249.78,50.5,37661.3,2.68,10.74,,,
L11-183,2019,3,NIB,0,1,5509,224.75,24.5,22233.8,2.21,10.74,,,
L12-193,2011,2,SGH,0,1,9034,251.76,35.9,33123.8,2.17,10.74,,,
HO17-725,2019,3,MEL,0,2,8367,252.56,33.1,30673.5,2.16,10.74,,,
L16-353,2018,4,BLK,0,1,9800,246.41,39.8,36995.8,2.15,10.74,,,
L15-338,2017,3,SGL,1,1,9135,190.3,48,47643.8,2.02,10.74,,,
L15-307,2015,2,SGH,1,1,6514,232.64,28,30855,1.82,10.74,,,
L16-385,2016,2,SGH,1,1,3708,244.42,15.2,19511.3,1.56,10.74,,,
L17-426,2019,3,NIB,1,2,5721,262.66,21.8,29040,1.5,10.74,,,
L16-381,2015,2,SGH,0,1,7957,251.36,31.7,43106.3,1.47,10.74,,,
HO11-512,2015,4,BLK,1,2,5377,247.39,21.7,30613.4,1.42,10.74,,,
HO12-626,2015,3,WES,1,1,7333,244.98,29.9,45012,1.33,10.74,,,
HOCP96-540,2019,3,NIB,1,1,5846,69    239.603,24.4,22233.7,2.195,10.735252,,,
L17-407,2018,3,SGL,0,1,9917,219.02,45.3,30855,2.94,10.73,,,
HOCP14-823,2014,2,AFL,1,1,16749,234.28,71.5,62163.8,2.3,10.73,,,
HOCP17-710,2019,3,MEL,0,2,6932,271.36,25.5,24502.5,2.09,10.73,,,
HOCP13-738,2016,3,NEW,1,1,6987,209.14,33.4,33577.5,1.99,10.73,,,
L15-344,2015,2,SGH,1,1,7073,229.58,30.8,33577.5,1.84,10.73,,,
HO13-720,2015,3,MEL,0,2,8371,279.02,30,34485,1.74,10.73,,,
HO13-720,2015,3,STO,0,2,8371,279.02,30,34485,1.74,10.73,,,
HOCP13-758,2017,3,MEL,2,2,8204,263.57,31.1,37389,1.67,10.73,,,
HOCP96-540,2010,3,STO,3,1,3080,67    183.100,16.8,21780,1.545,10.73,,,
L01-283,2013,3,NIB,2,1,15144,38    246.000,61.6,60802.5,2.025,10.73,,,
HOCP96-540,2018,3,MEL,1,2,6668,00    210.583,31.7,22143,2.86,10.727915,,,
L01-299,2015,3,WES,0,2,7644,04    265.665,28.8,30129,1.91,10.727617,,,
L01-299,2017,3,WES,0,2,13733,00    271.723,50.5,55539,1.82,10.723754,,,
L03-371,2016,4,BLK,3,1,6618,46    222.727,29.7,35166.4,1.69,10.722363,,,
L14-267,2015,3,SGL,0,2,18597,282.5,65.8,47190,2.79,10.72,,,
L14-265,2016,3,WES,0,1,13335,278.4,47.9,44104.5,2.17,10.72,,,
HOCP15-519,2017,3,NEW,0,2,11302,250.85,45.1,42108,2.14,10.72,,,
L17-435,2019,4,BLK,0,1,4604,235.55,19.5,19067.1,2.05,10.72,,,
HOCP14-897,2014,2,AFL,1,1,16632,300.45,55.4,55357.5,2,10.72,,,
L13-254,2014,3,NIB,0,2,6181,254.13,24.3,30401.3,1.6,10.72,,,
L15-328,2016,3,NIB,0,2,7748,298.91,25.9,33123.8,1.57,10.72,,,
L09-131,2010,3,AFL,0,2,1688,239.88,7,9982.5,1.41,10.72,,,
L99-226,2011,3,NIB,2,1,8569,44    281.920,30.4,29947.5,2.03,10.7136,,,
L99-226,2011,3,NIB,0,2,9722,83    262.820,37,28132.5,2.63,10.7136,,,
L12-201,2011,2,SGH,0,1,11792,235.46,50.1,39022.5,2.57,10.71,,,
L10-147,2013,3,SGL,2,1,11429,257,44.5,36753.8,2.42,10.71,,,
HOCP13-758,2016,4,AFH,0,1,12939,299.75,43.2,36426.5,2.37,10.71,,,
HOCP13-758,2016,4,AFH,0,1,12939,299.75,43.2,36426.5,2.37,10.71,,,
L14-269,2014,2,SGH,1,1,6531,182.57,35.8,38568.8,1.86,10.71,,,
HO16-628,2016,2,AFL,1,1,9980,242.81,41.1,44921.3,1.83,10.71,,,
HOCP14-885,2019,4,BLK,2,1,12128,271.35,44.7,51969.5,1.72,10.71,,,
HOCP09-804,2018,3,NEW,0,2,10023,239.67,41.8,51001.5,1.64,10.71,,,
L12-202,2015,3,MEL,1,2,8359,311.31,26.9,33396,1.61,10.71,,,
L12-202,2015,3,STO,1,2,8359,311.31,26.9,33396,1.61,10.71,,,
HO09-840,2014,4,VAL,2,1,8435,278.92,30.2,24426.9,1.43,10.71,,,
L13-254,2014,3,NIB,0,1,4837,279.51,17.3,26317.5,1.32,10.71,,,
L03-371,2012,4,BLK,0,2,8367,62    288.990,29,22979.9,2.52,10.71,,,
L01-283,2014,4,BLK,0,2,12913,01    294.275,43.9,21326.2,1.97,10.709667,,,
L01-283,2018,3,SGL,3,1,10934,48    243.193,45,49005,1.835,10.701082,,,
L17-433,2018,3,SGL,0,1,12074,230.2,52.5,27678.8,3.79,10.7,,,
HOCP13-738,2012,2,AFL,0,1,21182,311,68.1,43106.3,3.16,10.7,,,
HOCP12-665,2012,2,AFL,1,1,18475,261,70.8,45375,3.12,10.7,,,
HOL15-542,2014,2,AFL,0,1,15076,276.61,54.5,35392.5,3.08,10.7,,,
HO16-606,2018,3,NEW,0,1,14846,243.44,61,43560,2.8,10.7,,,
HOH15-924,2015,2,AFL,1,1,15446,269.25,57.4,42652.5,2.69,10.7,,,
HO12-632,2012,2,AFL,1,1,11223,231,48.6,37661.3,2.58,10.7,,,
L17-400,2019,3,AFL,1,2,9900,308.13,32.1,24956.3,2.58,10.7,,,
HOCP12-656,2012,2,AFL,1,1,15728,237,66.4,53088.8,2.5,10.7,,,
HO17-756,2019,3,NEW,0,2,13199,278.5,47.4,38296.5,2.48,10.7,,,
HOCP13-723,2012,2,AFL,0,1,15962,287,55.6,46736.3,2.38,10.7,,,
HO13-714,2012,2,AFL,0,1,14544,276,52.7,44467.5,2.37,10.7,,,
HOCP12-673,2012,2,AFL,1,1,11968,244,49.1,42652.5,2.3,10.7,,,
L16-353,2015,2,SGH,0,1,13924,281.64,49.4,43106.3,2.29,10.7,,,
HO15-921,2017,3,MEL,0,1,13684,285.82,47.9,43923,2.18,10.7,,,
HOCP12-672,2012,2,AFL,1,1,12303,268,45.9,43106.3,2.13,10.7,,,
L17-435,2018,3,SGL,0,1,9269,232.77,39.8,38568.8,2.07,10.7,,,
L18-469,2019,3,NIB,0,1,4781,204.44,23.4,24048.8,1.95,10.7,,,
L09-117,2011,3,WES,0,2,12033,250.41,48.1,54450,1.77,10.7,,,
HOCP13-758,2017,3,MEL,2,1,7331,275.58,26.6,30492,1.75,10.7,,,
L13-254,2012,2,SGH,0,1,8903,213,41.8,48551,1.72,10.7,,,
L15-342,2014,2,SGH,0,1,7840,215.24,36.4,43106.3,1.69,10.7,,,
L17-435,2019,3,SGL,1,2,5826,184.71,31.5,38115,1.66,10.7,,,
L14-273,2015,3,NIB,0,1,8288,253.44,32.7,42198.8,1.55,10.7,,,
L15-347,2015,2,SGH,1,1,7487,260.15,28.8,39022.5,1.48,10.7,,,
L01-283,2013,3,WES,2,1,17598,92    255.000,69,81675,1.69,10.7,,,
HOCP00-950,2011,2,AFL,1,1,10931,85    251.000,43.6,35846.2,2.43,10.7,,,
L01-283,2015,3,NEW,0,2,11870,57    276.100,43,60984,1.41,10.698079,,,
HOCP96-540,2019,3,SGL,3,2,4336,90    164.905,26.3,32670,1.61,10.697525,,,
HOCP96-540,2016,3,NEW,1,2,6848,21    208.991,32.8,27769.5,2.36,10.694339,,,
L17-424,2018,3,SGL,0,2,9973,223.54,44.6,31308.8,2.85,10.69,,,
HO08-711,2011,3,WES,1,1,11408,252.92,45.1,39567,2.28,10.69,,,
HO08-730,2012,3,WES,0,1,9836,183.29,53.7,47916,2.24,10.69,,,
L14-282,2015,3,NIB,0,2,9579,256.62,37.3,34485,2.17,10.69,,,
L17-419,2019,3,WES,0,2,9692,264.41,36.7,33940.5,2.16,10.69,,,
HO15-938,2017,3,MEL,0,1,13125,273.46,48,46464,2.07,10.69,,,
HOCP16-675,2018,3,WES,0,1,9434,183.58,51.4,51909,1.98,10.69,,,
HOL14-857,2013,2,AFL,0,1,11715,283.47,41.3,44921.3,1.84,10.69,,,
HOCP96-540,2012,4,BLK,1,1,10155,78    264.980,38.3,31544.5,2.43,10.69,,,
L01-283,2018,3,MEL,2,1,6790,54    211.869,32.1,46282.5,1.385,10.680637,,,
HOCP13-738,2015,3,WES,0,2,15527,273.77,56.7,40656,2.79,10.68,,,
HOCP13-758,2016,4,BLK,0,1,17777,305.06,58.3,44825.9,2.6,10.68,,,
HOCP15-521,2014,2,AFL,0,1,14539,305.16,47.6,38115,2.5,10.68,,,
L16-360,2018,3,NEW,0,1,13221,211.23,62.6,51727.5,2.42,10.68,,,
L18-468,2019,3,NIB,0,1,6439,233.01,27.6,25410,2.18,10.68,,,
L12-201,2017,3,NEW,3,1,10126,264.87,38.2,37026,2.07,10.68,,,
L10-147,2013,3,WES,1,1,11844,236,50.2,50820,1.98,10.68,,,
HO13-739,2018,3,WES,3,2,8164,222.36,36.7,37752,1.95,10.68,,,
L13-234,2015,3,WES,0,2,10287,254.96,40.3,42471,1.9,10.68,,,
L12-213,2012,2,SGH,1,1,9791,189.16,51.8,55357.5,1.87,10.68,,,
L14-289,2015,3,NIB,0,1,7621,268.46,28.4,30855,1.84,10.68,,,
L16-391,2018,3,MEL,0,1,6690,181.3,36.9,47008.5,1.57,10.68,,,
L14-296,2014,2,SGH,1,1,5413,198.37,27.3,38568.8,1.42,10.68,,,
HOCP96-540,2010,3,WES,1,2,5727,30    231.480,24.7,23232,2.13,10.68,,,
L01-283,2011,2,AFL,1,1,17533,66    246.000,71.3,59895,2.38,10.68,,,
L99-226,2014,2,SGH,1,1,5034,33    173.052,28.4,25636.8,2.177,10.679275,,,
HOCP96-540,2019,3,NEW,1,1,11033,35    255.640,43.2,30129,2.865,10.677114,,,
L14-266,2015,3,AFL,0,1,14678,270.61,54.2,39022.5,2.78,10.67,,,
HOCP13-738,2015,3,NEW,0,2,11484,267.15,43,37026,2.32,10.67,,,
L14-267,2018,3,NEW,2,1,11386,243.01,46.9,40656,2.31,10.67,,,
L10-157,2010,2,SGH,1,1,10206,219.76,46.4,40383.8,2.3,10.67,,,
L10-156,2011,3,AFL,0,1,10777,218.1,49.4,44921.3,2.2,10.67,,,
HOCP16-670,2016,2,AFL,1,1,8111,238.92,34,39022.5,1.74,10.67,,,
HO11-556,2014,3,NEW,1,2,8977,217.23,41.3,50094,1.65,10.67,,,
HOCP14-802,2018,3,WES,2,2,4680,131.97,35.5,44467.5,1.6,10.67,,,
L03-371,2012,4,ERA,0,1,8554,55    303.560,28.2,30798.6,1.83,10.67,,,
L99-226,2012,3,NEW,2,2,6498,43    225.140,28.9,33759,1.71,10.668,,,
L01-283,2018,3,WES,3,1,7212,94    190.923,37.8,41745,1.81,10.666989,,,
HOCP96-540,2018,3,SGL,3,2,9552,69    201.776,47.3,38568.7,2.455,10.663863,,,
HOCP96-540,2018,4,VAL,2,2,8919,87    234.765,38,31400.7,2.42,10.661655,,,
HOCP96-540,2018,4,BLK,1,1,6917,53    161.940,42.7,50853.1,1.68,10.661581,,,
HO08-711,2011,4,SUG,0,1,6523,272.76,23.9,21069.9,,10.66,,,
L11-178,2010,2,SGH,0,1,12090,275.83,43.8,31308.8,2.8,10.66,,,
L17-398,2018,3,AFL,0,1,9109,248.55,36.6,26317.5,2.79,10.66,,,
L14-267,2015,3,SGL,0,1,16500,275.38,59.9,43106.3,2.78,10.66,,,
L15-320,2016,3,AFL,0,2,14371,273.47,52.6,38568.8,2.73,10.66,,,
L17-435,2018,3,AFL,0,1,12320,243.29,50.6,42198.8,2.4,10.66,,,
L17-426,2019,3,WES,0,2,8199,249.66,32.8,30129,2.18,10.66,,,
L18-469,2019,3,SGL,0,2,5799,198.71,29.2,26771.3,2.18,10.66,,,
HO08-717,2010,3,WES,0,2,9078,231.73,39.2,41019,1.91,10.66,,,
HO14-836,2017,3,NEW,1,1,14142,296.04,47.8,50820,1.88,10.66,,,
L15-315,2014,2,SGH,0,1,7513,199.42,37.7,40837.5,1.85,10.66,,,
L15-306,2015,2,SGH,1,1,6277,257.48,24.4,31762.5,1.54,10.66,,,
L01-283,2010,3,STO,1,2,13455,82    267.990,50.2,55176,1.82,10.66,,,
L01-283,2010,3,STO,0,2,10093,49    279.750,36.1,37389,1.93,10.66,,,
HOCP96-540,2014,3,NIB,0,1,6908,99    252.826,27.3,29947.5,1.825,10.658562,,,
L01-299,2012,3,STO,0,2,2988,03    188.450,15.9,20328,1.56,10.6575,,,
L03-371,2014,4,BLK,1,1,12963,14    243.189,53.3,20948.1,2.46,10.65466,,,
HOCP96-540,2014,3,AFL,0,1,9067,15    231.147,39.2,31762.5,2.47,10.652041,,,
L12-201,2014,3,NIB,1,1,18568,254.34,73,42198.8,3.46,10.65,,,
L14-275,2015,3,AFL,0,2,16534,254.5,65,37661.3,3.45,10.65,,,
L17-433,2018,3,SGL,0,2,9232,212.11,43.5,27678.8,3.15,10.65,,,
L10-147,2011,3,SGL,0,1,15090,237.33,63.6,43106.3,2.95,10.65,,,
L14-267,2018,3,SGL,3,2,12814,239.58,53.5,37207.5,2.88,10.65,,,
HOL15-508,2017,3,MEL,0,2,15535,284.32,54.6,38478,2.84,10.65,,,
HO17-774,2019,3,NEW,0,1,7129,221.77,32.1,25410,2.53,10.65,,,
L12-201,2012,2,SGH,1,1,8283,170.11,48.7,44467.5,2.19,10.65,,,
L17-400,2019,3,NIB,1,1,8548,282.04,30.3,27678.8,2.19,10.65,,,
L14-275,2015,3,NIB,0,1,4772,225.93,21.1,19511.3,2.17,10.65,,,
L14-274,2016,4,BLK,0,1,10268,300.71,34.1,34144.7,2,10.65,,,
HO16-609,2018,3,WES,0,2,9638,186.24,51.7,52272,1.98,10.65,,,
L16-376,2017,3,NIB,0,1,4625,237.26,19.5,21780,1.79,10.65,,,
L08-090,2012,4,BLK,2,1,7499,276.56,27.1,32087.7,1.69,10.65,,,
HO12-630,2015,3,MEL,1,2,9370,307.54,30.5,39567,1.54,10.65,,,
HO12-630,2015,3,STO,1,2,9370,307.54,30.5,39567,1.54,10.65,,,
HOCP96-540,2011,2,SGH,1,1,7808,22    210.955,36.3,37434.3,1.897,10.6488,,,
L01-299,2015,3,NEW,1,1,8963,18    269.115,33.3,38841,1.715,10.643721,,,
HOCP14-843,2016,3,NEW,0,2,14000,229.29,61.1,44649,2.74,10.64,,,
L15-338,2017,3,MEL,0,2,11663,242.85,48,39204,2.45,10.64,,,
L14-274,2016,3,NEW,0,2,10377,254.89,40.7,36844.5,2.21,10.64,,,
HOCP09-800,2012,4,AFH,0,2,6156,277.99,22.1,21605.1,2.05,10.64,,,
HOCP12-647,2014,3,WES,0,1,7802,203.14,38.4,37933.5,2.03,10.64,,,
HOCP14-907,2014,2,AFL,1,1,11958,194.73,61.4,60802.5,2.02,10.64,,,
L12-202,2015,3,SGL,2,1,8988,268.03,33.5,35392.5,1.9,10.64,,,
L12-224,2012,2,SGH,1,1,9040,164.71,54.9,58080,1.89,10.64,,,
L10-147,2014,3,WES,2,1,10015,232.43,43.1,53361,1.62,10.64,,,
HOCP13-726,2016,3,NEW,1,1,9298,248.19,37.5,46827,1.6,10.64,,,
HO16-606,2016,2,AFL,1,1,9799,284.34,34.5,44467.5,1.55,10.64,,,
L11-191,2013,3,AFL,1,2,7621,238,32,44013.8,1.46,10.64,,,
L03-371,2014,3,SGL,2,2,8611,03    175.644,49,44467.5,2.205,10.63975,,,
HOCP96-540,2011,3,NEW,1,2,9330,64    241.780,38.6,38115,2.025,10.638,,,
HOCP96-540,2018,3,WES,3,2,3566,98    208.352,17.1,19965,1.715,10.635317,,,
HOCP96-540,2015,3,MEL,1,2,5340,11    300.225,17.8,25410,1.4,10.631365,,,
HOCP96-540,2015,3,STO,1,2,5340,11    300.225,17.8,25410,1.4,10.631365,,,
HOCP96-540,2018,3,NEW,2,2,6512,31    252.679,25.8,25773,2,10.630934,,,
HOCP13-758,2017,4,VAL,1,2,.,272.24,.,43408.8,2.47,10.63,,,
HO16-626,2019,4,BLK,0,1,7071,269.7,26.2,22698.4,2.31,10.63,,,
L11-191,2012,3,SGL,0,1,13782,270.32,51,45828.8,2.23,10.63,,,
L16-348,2017,3,NIB,0,2,7868,224.57,35,32216.3,2.18,10.63,,,
HOCP15-991,2015,2,AFL,1,1,14213,265.09,53.6,50820,2.11,10.63,,,
HOL14-837,2014,2,AFL,1,1,11129,219.86,50.6,50366.3,2.01,10.63,,,
HOCP09-800,2011,3,WES,0,1,8632,253.89,34,38115,1.78,10.63,,,
HO12-626,2015,4,VAL,0,2,5138,242.24,21.2,26346.3,1.61,10.63,,,
L03-371,2015,3,AFL,2,2,14848,75    237.997,62.4,56718.7,2.2,10.626907,,,
HO16-627,2015,2,AFL,0,1,18924,270.09,70.1,40383.8,3.47,10.62,,,
HO15-918,2017,3,MEL,0,1,15064,288.69,52.2,33396,3.13,10.62,,,
HO15-945,2015,2,AFL,1,1,18042,256.74,70.3,47643.8,2.95,10.62,,,
HOCP08-726,2010,3,NEW,0,2,7778,267.45,29.1,23595,2.47,10.62,,,
L10-147,2012,4,BLK,0,2,12676,234.9,54,43693.6,2.47,10.62,,,
L13-243,2015,3,NEW,0,2,6328,226.05,28,23232,2.41,10.62,,,
L14-276,2015,3,NIB,0,1,3057,236.93,12.9,11343.8,2.28,10.62,,,
HOCP13-726,2015,3,NEW,0,2,11769,259.04,45.4,40656,2.24,10.62,,,
L14-274,2013,2,SGH,0,1,7611,221,34.4,31308.8,2.2,10.62,,,
L14-267,2018,3,MEL,2,2,8311,231.65,35.9,34666.5,2.07,10.62,,,
L15-343,2017,3,MEL,0,2,9562,253.22,37.8,37389,2.02,10.62,,,
L16-376,2017,3,SGL,0,2,9250,273.16,33.9,34031.3,1.99,10.62,,,
L16-353,2018,3,NIB,1,2,4284,250.23,17.1,17696.3,1.94,10.62,,,
L17-410,2019,3,SGL,1,1,7819,263.12,29.7,33577.5,1.77,10.62,,,
HO07-613,2011,3,WES,2,1,10684,256.12,41.7,49368,1.69,10.62,,,
L11-183,2015,3,MEL,2,1,4509,187.79,24,30492,1.58,10.62,,,
L11-183,2015,3,STO,2,1,4509,187.79,24,30492,1.58,10.62,,,
L10-146,2012,3,WES,0,2,8041,232.39,34.6,44649,1.55,10.62,,,
HOCP96-540,2010,3,SGL,0,1,7364,17    238.110,30.9,21780,2.84,10.62,,,
L01-299,2018,3,WES,1,2,6783,51    197.959,34.3,42834,1.6,10.618509,,,
L03-371,2012,3,SGL,0,2,11251,48    277.290,40.6,44467.5,1.825,10.6155,,,
L14-274,2015,3,AFL,0,2,10063,273.39,36.8,32216.3,2.29,10.61,,,
HO14-836,2016,3,NEW,0,1,12194,258.89,47.1,43015.5,2.19,10.61,,,
L13-246,2014,3,AFL,0,1,10677,255.7,41.8,39022.5,2.14,10.61,,,
HOL15-508,2019,4,CAF,1,2,10952,280.28,39.1,37571.7,2.08,10.61,,,
L10-144,2010,2,SGH,1,1,8875,195,45.5,53542.5,1.7,10.61,,,
HO08-717,2011,3,WES,1,1,6411,211.75,30.3,50457,1.2,10.61,,,
L01-283,2018,3,NIB,0,2,5775,34    210.103,27.5,23595,2.33,10.609348,,,
L17-428,2018,3,SGL,0,2,12078,227.81,53,34485,3.08,10.6,,,
HO16-606,2015,2,AFL,0,1,16343,292.12,55.9,40837.5,2.74,10.6,,,
L17-428,2018,3,NIB,0,1,6921,203.49,34,25863.8,2.63,10.6,,,
HO12-607,2012,2,AFL,1,1,10817,220,49.2,38115,2.58,10.6,,,
HO12-610,2012,2,AFL,1,1,15822,225,70.3,55811.3,2.52,10.6,,,
HOCP13-724,2012,2,AFL,0,1,13581,292,46.5,37661.3,2.47,10.6,,,
HOCP12-664,2011,2,AFL,0,1,17086,298,57.3,49005,2.34,10.6,,,
L14-270,2013,2,SGH,0,1,8440,214,39.4,37207.5,2.12,10.6,,,
L16-353,2018,3,MEL,0,1,11422,240.89,47.4,45375,2.09,10.6,,,
L11-191,2013,3,STO,0,2,10642,259,41.1,46827,1.76,10.6,,,
L11-183,2014,3,SGL,2,1,6497,201.82,32.2,39022.5,1.65,10.6,,,
HO12-626,2015,3,WES,1,2,8879,256.36,34.6,42108,1.65,10.6,,,
HOCP14-802,2018,3,NEW,2,1,8846,223.74,39.5,49731,1.59,10.6,,,
HOCP16-672,2018,3,MEL,0,2,4051,175.76,23,30129,1.53,10.6,,,
L03-371,2012,4,AFH,0,2,10630,26    303.920,35,39300.1,1.78,10.6,,,
HOCP96-540,2013,3,NEW,1,1,5873,06    206.000,28.5,31944,1.785,10.6,,,
L03-371,2013,4,ERA,1,1,8881,99    264.000,33.6,30173.9,2.23,10.6,,,
HOCP96-540,2015,4,VAL,0,1,8287,32    258.728,32,36606.8,1.75,10.596685,,,
L01-283,2011,3,WES,0,2,11977,07    253.820,47.2,52635,1.793,10.5948,,,
L14-267,2018,4,VAL,2,1,9333,242.44,38.5,28621.3,2.69,10.59,,,
HO16-638,2015,2,AFL,0,1,15432,280.22,55.1,42198.8,2.61,10.59,,,
L08-090,2010,3,SGL,1,1,9375,269.46,34.8,32216.3,2.16,10.59,,,
HO11-556,2014,3,NEW,1,1,11496,213.08,54,52635,2.05,10.59,,,
HOCP09-814,2012,3,STO,1,1,9528,224.86,42.4,41745,2.03,10.59,,,
L01-283,2013,3,NEW,2,1,8299,56    204.000,40.7,46101,1.765,10.59,,,
L99-226,2010,3,AFL,0,2,10065,86    265.530,37.9,22233.7,3.41,10.59,,,
L01-283,2018,3,MEL,0,2,5973,12    193.132,30.9,38659.5,1.6,10.583858,,,
L99-226,2015,4,BLK,3,1,7833,76    213.753,36.6,31190.3,2.35,10.583576,,,
HO16-600,2019,4,AFH,0,2,10986,260.15,42.2,28825.2,2.93,10.58,,,
L10-144,2011,3,SGL,0,2,13697,240.29,57,39930,2.86,10.58,,,
L12-201,2014,4,BLK,0,1,13822,279.02,49.5,13915,2.67,10.58,,,
L13-234,2015,3,NIB,1,2,12184,242.21,50.3,41745,2.41,10.58,,,
HO13-739,2015,3,NEW,0,1,11693,253.77,46.1,38478,2.4,10.58,,,
HOCP17-710,2019,3,WES,0,2,7963,243.87,32.7,32488.5,2.01,10.58,,,
HOCP09-814,2011,3,STO,0,2,9986,279.93,35.7,36663,1.95,10.58,,,
HOCP14-831,2016,3,NEW,0,1,9041,238.63,37.9,45375,1.67,10.58,,,
L17-426,2019,3,NIB,1,1,6940,249.76,27.8,33577.5,1.66,10.58,,,
L11-179,2011,2,SGH,1,1,8524,214.07,39.8,49005,1.63,10.58,,,
HO09-840,2013,3,NEW,2,2,9015,198,45.5,62799,1.45,10.58,,,
HOCP04-838,2015,3,WES,0,1,7575,93    254.392,29.8,40656,1.465,10.57629,,,
L10-146,2011,3,SGL,0,1,13231,252.16,52.5,35392.5,2.97,10.57,,,
L17-400,2018,3,AFL,0,1,7240,240.02,30.2,21780,2.77,10.57,,,
HO17-738,2019,3,WES,0,1,9975,239.74,41.6,37570.5,2.22,10.57,,,
L15-333,2014,2,SGH,0,1,10087,223.99,45,45375,1.99,10.57,,,
L15-334,2016,3,NIB,0,1,3969,299.08,13.3,13612.5,1.95,10.57,,,
L10-147,2014,3,MEL,2,2,8885,261.92,33.9,38115,1.78,10.57,,,
L10-147,2014,3,STO,2,2,8885,261.92,33.9,38115,1.78,10.57,,,
HO07-613,2011,3,NEW,2,1,3516,274.55,12.8,26136,0.98,10.57,,,
L99-226,2010,3,NEW,0,2,10014,89    273.120,36.7,32307,2.27,10.57,,,
HOCP96-540,2019,3,NEW,3,2,4181,29    192.991,21.7,31399.5,1.38,10.569173,,,
HOCP96-540,2019,4,BLK,0,2,9517,40    271.850,35,30051.2,2.33,10.561186,,,
HO15-930,2018,4,AFH,0,2,10379,268.27,38.7,17234.2,4.49,10.56,,,
L14-265,2016,3,NEW,0,2,15573,238.03,65.4,41019,3.19,10.56,,,
HO15-971,2018,3,NEW,1,2,9665,214.95,45,35755.5,2.52,10.56,,,
L08-090,2010,3,AFL,1,2,12456,261.64,47.6,39022.5,2.44,10.56,,,
HOCP14-885,2018,4,AFH,1,2,10209,224.69,45.4,38504.4,2.36,10.56,,,
HOCP14-830,2016,3,NEW,0,1,11861,262.9,45.1,38478,2.35,10.56,,,
HO15-977,2015,2,AFL,1,1,13405,266.44,50.3,44921.3,2.24,10.56,,,
HOCP13-758,2017,4,VAL,1,1,.,290.12,.,38871.3,2.23,10.56,,,
HO11-532,2014,3,NEW,1,2,8369,216.26,38.7,37389,2.07,10.56,,,
L14-282,2017,3,WES,1,2,14518,256.38,56.6,58080,1.95,10.56,,,
HOL15-934,2015,2,AFL,1,1,13466,273.09,49.3,52181.3,1.89,10.56,,,
L01-283,2014,4,BLK,0,1,17919,58    303.343,59.1,22838.7,1.83,10.55982,,,
L01-283,2019,3,NIB,3,2,4746,16    273.460,17.4,27225,1.275,10.557181,,,
HOCP14-881,2013,2,AFL,0,1,17020,283.3,60.1,41291.3,2.91,10.55,,,
L14-288,2015,3,AFL,0,2,10756,268.89,40,29040,2.76,10.55,,,
L15-329,2014,2,SGH,0,1,9319,199.88,46.6,34031.3,2.74,10.55,,,
HO16-646,2018,3,NEW,0,1,14521,238.11,61,50820,2.4,10.55,,,
